,name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib,cluster
1,"Jeptoo, Rita",16.22,32.58,65.83,69.47,82.43,99.33,116.37,132.1,138.95,5.3,21,1,1,33,F,KEN,others,Eldoret,F1,5
3,"Dibaba, Mare",16.2,32.57,65.83,69.47,82.43,99.33,116.37,132.95,140.58,5.37,27,3,3,24,F,ETH,others,Shoa,F2,5
5,"Sumgong, Jemima Jelagat",16.22,32.58,65.83,69.47,82.45,99.33,116.37,132.95,140.68,5.37,28,4,4,29,F,KEN,others,Nandi,F3,5
10,"Cherop, Sharon",16.22,32.58,65.85,69.47,82.45,99.35,116.92,134.65,143.0,5.47,40,8,8,30,F,KEN,others,Marakwet,F6,5
13,"Kilel, Caroline",16.22,32.58,67.15,71.1,85.55,104.62,124.22,143.5,152.07,5.8,121,17,17,33,F,KEN,others,Bomet,F7,5
17,"Deba, Buzunesh",16.2,32.57,65.83,69.47,82.43,99.35,116.38,132.65,139.98,5.35,25,2,2,26,F,ETH,others,Arsi,F10,5
19,"Petrova Arkhipova, Tatiana",17.32,34.8,70.1,73.95,87.83,106.03,124.53,142.68,150.48,5.75,102,13,13,31,F,RUS,others,Cheboksary,F11,5
21,"Duliba, Aleksandra",16.47,33.23,66.57,70.25,83.4,100.58,117.65,134.2,141.48,5.4,34,6,6,26,F,BLR,others,Minsk,F12,5
25,"Esayias, Yeshi",16.22,33.02,67.62,71.45,85.03,102.92,121.6,139.7,147.67,5.63,71,12,12,28,F,ETH,others,Arsi,F14,5
28,"Ongori, Philes",16.35,33.02,66.58,70.27,83.43,100.8,118.4,135.67,143.37,5.48,42,9,9,27,F,KEN,others,Kisii,F15,5
31,"Oljira, Belaynesh",16.2,32.57,65.83,69.47,82.43,99.53,117.58,135.8,144.35,5.52,48,11,11,23,F,ETH,others,Wellega,F16,5
42,"Marchant, Lanni",16.92,33.93,68.77,72.6,86.3,104.53,123.47,142.37,150.57,5.75,105,14,14,30,F,CAN,ON,London,F20,5
46,"Higuchi, Noriko",17.5,35.2,70.8,74.73,88.73,107.23,126.48,145.47,153.65,5.87,145,21,21,28,F,JPN,others,Kyoto,F22,5
52,"Aparecida da Silva, Adriana",17.5,35.22,70.82,74.73,88.65,106.88,125.43,143.4,151.3,5.78,111,16,16,32,F,BRA,others,Sao Paulo,F24,5
55,"Melkamu, Meselech",16.22,32.57,65.83,69.47,82.45,99.35,116.37,133.2,141.47,5.4,33,5,5,29,F,ETH,others,Addis Ababa,F25,5
99,"Hirose, Mitsuko",18.5,37.38,75.9,80.05,97.45,118.02,138.95,158.92,167.5,6.4,741,40,36,39,F,JPN,others,Tokyo,F44,5
133,"Tsuchida, Wakako",9.25,19.75,43.15,45.42,54.88,68.18,81.58,92.07,97.4,3.72,24,2,2,39,F,JPN,others,Tama City Tokyo,W105,5
136,"Woods, Shelly",10.1,20.65,43.93,46.35,55.73,69.42,84.12,95.8,101.7,3.88,31,5,5,27,F,GBR,others,Lytham - St Annes,W106,5
139,"Schar, Manuela",9.72,20.55,43.67,46.07,55.4,69.1,83.37,94.22,99.65,3.82,29,4,4,29,F,SUI,others,Kriens,W107,5
