,name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib,cluster
143,"Roy, Diane",9.65,20.65,44.87,47.32,57.47,71.78,86.57,97.73,103.67,3.97,32,6,6,43,F,CAN,QC,Sherbrooke,W109,5
145,"Wiltse, Paula",19.53,39.7,81.42,85.9,101.9,122.73,144.0,164.38,173.43,6.62,1283,70,3,46,F,CAN,ON,Brockville,F110,5
147,"Glasson, Rachel",19.52,39.03,78.58,82.93,98.45,118.63,139.07,159.07,167.95,6.42,783,42,5,44,F,AUS,others,Lake Albert,F111,5
152,"Robson, Denise",19.55,39.7,81.42,85.9,101.9,122.73,143.72,164.1,173.27,6.62,1264,69,2,45,F,CAN,NS,Dartmouth,F114,5
1238,"Yaremczuk, Natasha",18.93,37.9,77.37,81.7,97.28,117.6,137.83,158.28,167.25,6.38,725,39,35,33,F,CAN,ON,Paris,1383,5
1883,"Drynan, Allison",20.03,39.73,79.1,83.27,98.53,118.45,139.15,158.73,167.98,6.42,788,43,37,37,F,CAN,ON,Toronto,2145,5
2054,"Ganovska, Patricia",20.12,40.62,84.23,89.05,106.75,130.2,154.33,177.93,188.4,7.2,3812,301,252,27,F,SVK,others,Vysoke Tatry,2340,5
2114,"Tessier, Lyndsay L.",20.03,39.78,80.48,84.93,100.98,122.2,143.9,165.43,174.95,6.68,1482,82,69,36,F,CAN,ON,Pickering,2409,5
2598,"Novick, Anna E.",21.12,41.58,83.5,88.17,104.65,125.88,147.07,167.53,176.75,6.75,1732,96,82,25,F,JPN,others,"Yokohama-Shi, Kanagawa-Ken",2965,5
3080,"Moro Piazzon, Yvette",20.87,42.2,85.93,90.72,108.0,131.25,154.87,178.27,188.65,7.2,3868,313,260,38,F,ITA,others,Porcia,3509,5
3292,"Moffett, Janine G.",20.62,41.52,84.38,89.15,106.37,129.32,152.73,176.27,186.8,7.13,3514,259,218,39,F,CAN,ON,St Catharines,3743,5
3302,"Snowden, Kathryn",20.9,41.93,90.37,95.6,115.9,142.47,170.7,199.35,210.92,8.05,9608,2229,1682,28,F,CAN,ON,Toronto,3753,5
3357,"Lazzarotto, Roberta",21.62,42.67,85.38,90.07,106.93,129.1,151.82,173.78,183.35,7.0,2913,175,148,35,F,SUI,others,Cham,3811,5
3481,"Probert, Catriona H.",20.48,40.93,82.5,87.13,103.5,125.22,147.42,169.6,179.55,6.85,2273,126,105,30,F,GBR,others,Eskbank,3947,5
3966,"Niehaus, Kate E.",19.8,39.63,79.58,83.92,101.63,128.82,154.15,182.95,192.67,7.35,4722,468,382,25,F,GBR,others,Oxford,4496,5
4226,"Leon, Aurora",21.0,42.2,84.48,89.1,105.83,128.02,150.63,173.38,183.52,7.0,2943,180,16,44,F,MEX,others,Mexico,4807,5
4291,"Hardage, Robyn",21.1,42.4,85.3,89.98,106.98,129.82,153.28,176.95,187.45,7.15,3637,272,229,32,F,CAN,ON,Ottawa,4884,5
4525,"Normand, Joanne",20.97,42.55,88.05,93.12,111.22,135.67,160.93,187.23,199.82,7.63,6423,913,106,43,F,CAN,QC,Levis,5158,5
4599,"Willis, Kelly B.",21.23,42.98,88.22,93.13,112.07,135.75,159.73,183.28,193.6,7.4,4946,516,24,46,F,BEL,others,Brussels,5241,5
4869,"Switt, Angela H.",20.77,41.85,83.83,88.43,104.95,126.15,147.68,168.37,176.95,6.75,1761,98,9,40,F,CAN,ON,Toronto,5547,5
4895,"Gildersleeve, Nicola A.",21.08,42.27,85.23,90.0,106.83,129.47,152.42,175.03,184.32,7.03,3103,201,170,30,F,CAN,BC,North Vancouver,5579,5
5119,"Braun, Kendra",21.03,41.83,84.23,88.98,106.0,128.67,152.6,176.27,186.83,7.13,3519,260,219,39,F,CAN,BC,Langley,5829,5
5250,"Fleet, Kim J.",21.72,43.1,86.72,91.53,108.93,132.35,157.32,182.97,193.9,7.4,5021,530,430,32,F,CAN,ON,London,5977,5
5491,"Kellam, Ashley",20.35,40.95,86.02,91.03,110.35,137.15,162.77,188.93,201.03,7.68,6709,1020,806,24,F,CAN,ON,Amherstburg,6252,5
5676,"Beaulne, Rebecca M.",22.18,44.62,90.43,95.52,139.07,169.37,211.37,245.82,258.73,9.88,21651,8942,1581,41,F,CAN,AB,Fort Mcmurray,6473,5
5752,"Roberge, Melanie",21.38,42.92,87.12,92.12,110.38,134.5,162.5,192.98,205.22,7.83,7857,1453,1129,39,F,CAN,QC,Quebec,6561,5
5766,"Juckett Chesnutt, Stacy M",24.97,51.07,103.07,108.62,129.07,158.83,189.1,217.2,228.1,8.72,14785,5042,891,43,F,CAN,NS,Dartmouth,6578,5
5779,"Benson, Jacqui",21.67,43.8,90.12,95.28,114.23,140.02,166.62,192.35,203.42,7.77,7340,1242,970,31,F,CAN,BC,Prince George,6591,5
5781,"Blackmore, Allison L.",21.9,43.35,88.3,93.3,112.48,137.52,163.65,191.23,202.93,7.75,7218,1208,80,48,F,CAN,AB,Calgary,6593,5
5839,"Minuk, Stephanie",23.65,46.78,93.4,98.57,117.12,142.02,167.6,194.75,207.57,7.92,8539,1753,223,40,F,CAN,MB,Winnipeg,6657,5
5907,"Redden, Kimberly",21.77,43.5,87.0,91.67,108.6,130.52,152.37,174.3,184.28,7.03,3097,199,8,47,F,CAN,ON,Ottawa,6733,5
5983,"Bonzi, Maria S.",21.03,42.32,85.73,90.48,107.63,130.03,152.98,175.45,185.25,7.07,3259,220,20,41,F,ARG,others,Salta,6823,5
6194,"Sansonetti, Danielle",20.4,40.83,83.55,88.23,105.45,128.37,151.65,174.5,184.83,7.05,3191,209,178,34,F,AUS,others,Melbourne,7061,5
6323,"Ipino, Michela",21.73,42.98,86.38,91.1,108.48,131.82,156.4,180.08,190.2,7.27,4185,364,16,45,F,ITA,others,Bassano Del Grappa,7207,5
6452,"Hall, Martha",21.63,43.6,87.48,92.33,109.77,133.6,160.25,187.23,198.38,7.57,6020,802,641,37,F,GBR,others,Welwyn Garden City,7351,5
6578,"Eberman, Jennifer",23.05,46.48,94.42,99.6,118.43,142.63,166.67,189.55,199.3,7.62,6274,872,688,39,F,CAN,ON,Toronto,7493,5
6592,"Morris, Sandra",20.88,41.93,84.77,89.4,106.6,129.85,154.72,179.2,189.93,7.25,4132,353,291,29,F,GBR,others,London,7509,5
6631,"Dalzell, Kristin",23.43,46.62,92.92,97.98,116.02,139.77,163.67,187.33,197.95,7.55,5910,768,615,34,F,CAN,ON,Newmarket,7555,5
6653,"Thomas, Terri L.",22.18,44.22,88.72,93.6,111.2,134.88,159.37,184.53,195.47,7.47,5382,623,30,47,F,AUS,others,Queensland,7581,5
6689,"Nuttall, Helen E.",22.47,44.5,88.63,93.45,110.75,133.38,156.32,179.83,190.17,7.27,4174,362,298,32,F,GBR,others,Herts,7622,5
6709,"Greig, Tracy L",21.88,43.93,88.28,93.18,110.8,133.85,157.53,181.17,191.17,7.3,4366,396,44,42,F,CAN,ON,Owen Sound,7645,5
6729,"Signorella, Ann D",21.72,43.35,89.05,94.17,112.92,138.15,164.98,190.05,201.47,7.7,6821,1066,840,33,F,CAN,BC,Victoria,7667,5
6754,"Killen, Chantal A.",20.58,40.85,82.07,86.57,102.82,124.58,147.77,171.55,182.9,6.98,2842,166,139,25,F,AUS,others,Perth,7698,5
6768,"Mahamud Isidro, Pilar",22.25,45.42,90.98,95.98,114.18,138.0,161.97,185.37,195.47,7.47,5383,624,31,45,F,ESP,others,Alicante,7717,5
6879,"Sobrino, Karen A",21.52,43.43,88.83,93.8,112.35,137.43,162.88,187.55,198.48,7.58,6043,808,94,41,F,SUI,others,St Gallen,7850,5
6933,"Warrendorf, Karen M",21.62,43.9,90.38,95.52,114.78,141.2,168.5,194.53,205.92,7.87,8058,1543,189,40,F,CAN,BC,Vancouver,7911,5
7046,"Campbell, Melinda B.",23.65,47.67,96.45,101.72,120.85,146.08,172.57,198.78,209.83,8.02,9291,2075,1573,31,F,CAN,ON,Toronto,8048,5
7115,"Pontes, Kamilla",22.13,44.32,88.52,93.43,110.77,133.58,156.58,178.4,187.82,7.17,3709,282,236,33,F,BRA,others,Sao Paulo,8131,5
7130,"Miller, Elizabeth C.",22.13,44.82,90.55,95.6,113.6,137.78,163.05,190.52,203.43,7.77,7343,1244,972,28,F,CAN,ON,Ottawa,8146,5
7135,"Wild, Adriana",21.93,43.47,87.87,92.82,110.88,135.25,160.05,185.33,196.67,7.52,5624,695,558,34,F,CAN,AB,Calgary,8151,5
7191,"Andrew Piel, Judy V.",22.12,44.37,88.95,93.73,111.52,134.93,158.75,182.28,192.98,7.37,4799,485,13,51,F,CAN,ON,Ottawa,8218,5
7220,"Knoll, Kelly",26.23,51.78,100.9,106.05,125.17,150.92,178.65,207.77,220.08,8.4,12456,3708,610,42,F,CAN,ON,Ottawa,8250,5
7384,"Rasch, Silvana",21.72,43.63,88.45,93.33,111.7,136.17,161.4,186.85,198.05,7.57,5935,777,622,38,F,GUA,others,Guatemala City,8434,5
7390,"Baldwin, Rosemary",21.6,44.02,90.55,95.68,114.1,138.73,165.62,190.73,201.93,7.72,6930,1103,864,35,F,CAN,ON,Sault Ste. Marie,8441,5
7400,"Butters, Nikki",22.63,45.33,92.03,97.42,116.3,142.02,168.27,193.6,205.53,7.85,7946,1494,1158,27,F,CAN,ON,Etobicoke,8453,5
7494,"Guitard, Brenda",22.45,44.63,89.92,94.88,112.68,135.68,159.15,182.33,193.32,7.38,4886,505,21,47,F,CAN,NB,Saint John,8561,5
7511,"Culos, Michelle L.",22.65,44.9,90.65,95.67,113.82,138.15,163.32,188.7,200.12,7.63,6501,946,58,45,F,CAN,BC,Richmond,8579,5
7518,"Bonisteel, Jackie",22.13,44.82,90.55,95.58,113.6,137.8,163.05,187.48,198.67,7.58,6101,825,657,29,F,CAN,ON,Ottawa,8588,5
7582,"Groppler, Stacy",22.42,44.87,90.18,95.12,112.85,136.23,159.92,182.47,192.22,7.33,4595,446,366,39,F,CAN,ON,London,8667,5
7634,"Pulido, Rocio E.",24.15,49.0,99.55,105.13,125.53,152.53,179.95,207.32,219.25,8.37,12186,3567,2467,24,F,MEX,others,Marin N.l.,8729,5
7635,"Cossette, Catherine",23.33,46.57,92.97,97.97,117.8,141.65,165.88,190.07,200.38,7.65,6556,968,113,41,F,CAN,ON,Toronto,8730,5
7640,"Powers, Ashley A.",20.92,42.02,84.28,88.87,105.38,127.08,149.25,171.12,180.53,6.9,2458,135,113,30,F,CAN,ON,London,8737,5
7674,"Jesson, Maree",20.57,41.32,83.07,87.67,104.52,126.68,149.45,171.32,181.22,6.92,2561,142,14,42,F,GBR,others,Northampton,8777,5
7675,"Gordon, Stephanie",22.97,45.35,90.78,95.73,113.65,138.07,162.67,186.58,197.37,7.53,5767,728,586,35,F,CAN,ON,Ottawa,8778,5
7696,"Turgeon, Jeanne-Evelyne E",24.13,48.4,101.17,107.12,129.37,158.25,188.78,220.1,233.38,8.92,16210,5851,3480,39,F,CAN,QC,Terrebonne,8801,5
7711,"Reynolds, Joanne L.",22.35,44.6,90.58,95.53,114.1,139.85,174.6,206.93,218.32,8.33,11893,3399,2378,39,F,CAN,NB,Fredericton,8817,5
7749,"Lipcsei, Laura",23.22,46.43,93.43,98.6,117.35,141.92,166.9,191.6,202.43,7.73,7060,1144,71,45,F,CAN,ON,Toronto,8864,5
7830,"Tang, Jingjing",23.7,47.8,96.72,102.12,121.98,148.62,176.58,204.98,217.95,8.32,11769,3330,2342,32,F,CHN,others,Shanghai,8958,5
7833,"Augert, Claudette",21.6,44.55,89.83,94.77,112.92,137.2,162.03,186.27,197.0,7.52,5691,705,17,50,F,CAN,AB,Edmonton,8961,5
7946,"Hussain, Yasmeen",21.4,42.33,86.12,90.8,108.77,133.58,159.3,183.23,193.3,7.38,4881,503,410,32,F,GBR,others,London,9083,5
7989,"Stoney, Hilda",22.72,45.42,91.3,96.28,114.55,138.95,165.12,191.42,203.13,7.75,7279,1225,954,34,F,SIN,others,Singapore,9132,5
7999,"Cardinal, Marie-Josee",21.87,43.52,87.45,92.23,109.43,132.58,156.98,180.57,191.0,7.3,4328,384,316,28,F,CAN,ON,Cornwall,9144,5
8160,"Moran Dohnert, Brigitte",23.05,46.9,96.1,101.47,120.97,147.15,174.43,200.7,212.08,8.1,9960,2398,329,41,F,VEN,others,Caracas,9330,5
8161,"Carrigan, Stacie A",20.88,42.0,87.67,92.75,112.88,142.72,179.17,210.7,221.2,8.45,12784,3879,2643,32,F,CAN,BC,Kelowna,9331,5
8165,"Faught, Jody",21.82,43.58,88.12,92.97,110.23,132.82,155.88,177.48,186.95,7.13,3534,261,220,36,F,CAN,ON,Brantford,9336,5
8194,"Gravel, Marie-Claire",22.9,45.72,91.25,96.15,114.15,138.18,163.38,188.68,200.12,7.63,6503,948,746,27,F,CAN,QC,Quebec,9373,5
8210,"Kormendy, Tanya",21.75,43.73,87.75,92.65,110.8,135.02,159.6,183.97,195.03,7.45,5289,590,476,31,F,CAN,BC,Nanaimo,9389,5
8218,"Thomas, Christine V.",21.1,42.53,86.33,91.1,108.57,132.03,156.18,179.57,189.42,7.23,4018,338,279,25,F,CAN,ON,Echo Bay,9398,5
8225,"Broadway, Claire",23.88,47.73,95.6,100.88,119.98,145.67,172.82,200.03,212.03,8.1,9948,2394,1786,31,F,AUS,others,Victoria,9405,5
8231,"Sachrajda, Natalie",21.6,43.02,85.92,90.58,107.45,129.35,151.45,173.38,182.52,6.97,2775,159,134,23,F,CAN,NS,Halifax,9412,5
8245,"Fatehali, Shaista",22.7,45.48,93.93,99.27,119.38,147.08,175.6,207.33,220.78,8.43,12653,3810,2603,33,F,CAN,BC,Burnaby,9426,5
8270,"Boyle, Jacqui",21.52,44.03,89.55,94.57,112.75,136.97,166.18,191.08,201.75,7.7,6883,1086,67,47,F,IRL,others,Dublin,9460,5
8276,"Campanaro, Cynthia",24.65,48.08,99.4,105.75,128.1,160.92,193.23,224.73,240.42,9.18,18173,6973,1255,41,F,CAN,ON,Dundas,9470,5
8320,"Gauthier, Pierrette",22.63,44.67,89.88,94.83,112.9,137.07,161.72,186.65,198.28,7.57,5992,796,43,49,F,CAN,QC,Montreal,9520,5
8357,"Archibald, Jennifer M",24.37,47.95,95.38,100.6,119.67,144.33,170.1,195.38,206.57,7.88,8240,1621,1250,37,F,CAN,AB,Calgary,9568,5
8387,"Chung, Joan",21.52,43.12,87.32,92.17,110.0,133.85,159.12,185.57,197.75,7.55,5870,759,610,30,F,CAN,ON,Toronto,9601,5
8392,"Davis, Kelli N.",21.85,44.02,91.88,97.28,117.17,143.78,172.85,206.77,218.57,8.35,11964,3438,2396,21,F,CAN,QC,Montreal,9608,5
8433,"Tymchuk, Tamara",20.5,41.57,86.73,91.78,110.83,137.08,163.55,189.9,201.03,7.68,6708,1019,805,22,F,CAN,ON,Windsor,9651,5
8454,"Macneill, Helga M",22.85,45.83,93.08,98.28,117.13,142.27,168.87,197.18,209.05,7.98,9008,1953,255,41,F,CAN,PE,Kensington,9674,5
8456,"Villafuerte, Karla I.",22.45,45.25,93.05,98.5,119.22,153.2,185.92,216.43,229.27,8.75,15091,5201,3224,37,F,MEX,others,Monterrey,9677,5
8467,"Batllori, Laura",23.08,46.4,92.68,97.87,115.98,139.45,162.8,185.85,195.67,7.47,5420,638,76,41,F,ARG,others,"Del Viso, Buenos Aires",9689,5
8501,"Evens, Jill",20.9,41.1,83.0,87.62,104.25,126.47,149.58,172.3,182.02,6.95,2693,155,131,25,F,CAN,AB,Calgary,9729,5
8510,"Nakanishi, Kimiko",21.6,43.65,92.77,98.32,118.17,143.67,169.58,194.4,205.18,7.83,7853,1451,1127,38,F,JPN,others,Tokyo,9742,5
8511,"MacDonald, Sarah K.",22.65,45.3,91.88,96.98,115.92,141.22,168.57,198.32,211.98,8.1,9925,2382,1778,36,F,CAN,NS,Beechville,9743,5
8576,"Cavazos, Fernanda",22.33,44.97,90.77,95.68,113.67,136.85,160.12,183.0,193.03,7.37,4808,488,399,39,F,MEX,others,"San Pedro, Garza Garcia, N.l.",9816,5
8580,"Drouillard, Jesula",21.58,44.4,90.58,95.48,113.65,137.9,162.93,187.35,198.13,7.57,5959,785,41,47,F,CAN,ON,Ottawa,9823,5
8581,"Gosselin, Marilene",22.12,44.72,90.4,95.38,116.15,144.52,170.9,200.85,210.93,8.05,9616,2235,1685,37,F,CAN,QC,Levis,9824,5
8598,"Weber, Jane E.",23.62,46.77,93.93,99.17,117.83,142.75,168.85,195.45,207.32,7.92,8473,1724,1327,32,F,CAN,ON,Toronto,9845,5
8603,"Santerre, Sonia",22.78,45.57,92.12,97.2,116.4,143.17,172.22,202.18,214.92,8.2,10802,2829,418,44,F,CAN,QC,Chambly,9851,5
8604,"Downey, Karen",25.07,49.78,103.23,109.42,132.95,164.78,199.32,230.17,243.38,9.28,18780,7325,1321,41,F,CAN,ON,Toronto,9853,5
8605,"Miranda, Ana Catalina",22.18,44.42,89.05,93.92,111.23,133.85,156.32,178.05,187.33,7.15,3612,269,227,38,F,CRC,others,San Jose,9854,5
8633,"Grace, Jane M. Sr.",22.53,45.03,90.48,95.47,113.48,137.0,161.05,184.67,194.93,7.45,5261,583,68,41,F,GBR,others,Grouville,9883,5
8648,"Collin, Clair",22.85,45.05,89.4,94.25,111.62,134.78,158.22,180.93,191.1,7.3,4354,389,319,31,F,CAN,ON,Toronto,9898,5
8734,"Lesnowski, Suzanne L",22.22,44.43,89.1,93.98,112.42,135.25,159.17,182.98,194.43,7.42,5152,562,63,43,F,CAN,ON,Toronto,10010,5
8766,"Umematsu, Hitomi",22.7,45.48,92.93,98.12,116.98,143.2,169.58,195.08,207.33,7.92,8474,1725,1328,31,F,JPN,others,Saitama,10051,5
8771,"Kennedy, Phaedra",23.9,47.08,92.07,96.92,114.67,138.5,163.83,189.8,201.4,7.68,6801,1058,120,43,F,CAN,ON,Toronto,10057,5
8781,"Vacheron Raywood, Aline",23.23,46.55,94.12,99.3,118.2,143.42,172.58,205.35,222.4,8.48,13130,4076,691,43,F,UAE,others,Dubai,10068,5
8830,"Livesay, Tracey",23.92,47.13,95.4,100.92,120.5,146.58,174.45,200.12,211.18,8.07,9680,2261,307,41,F,CAN,NS,Dartmouth,10127,5
8831,"Sartorius, Kelly",22.57,45.25,91.1,96.13,114.6,138.75,163.22,187.8,198.55,7.58,6066,815,95,40,F,CAN,BC,New Westminster,10128,5
8839,"Dourley, Barbara",23.55,46.8,93.67,98.85,117.7,143.4,170.18,197.07,209.32,7.98,9103,1993,1515,25,F,CAN,ON,Toronto,10136,5
8853,"Brohart, Courtney",21.97,43.78,88.23,93.03,110.5,133.2,156.15,178.72,188.58,7.2,3853,308,256,24,F,CAN,ON,Camlachie,10153,5
8930,"Takahashi, Rie",23.67,47.12,94.53,99.73,118.9,144.62,170.07,193.62,204.82,7.82,7753,1410,174,44,F,JPN,others,Osaka,10252,5
8944,"Cerize, Juliana S. Sr.",22.38,44.55,89.63,94.58,112.62,136.38,160.38,184.02,194.65,7.43,5197,572,463,39,F,BRA,others,Sao Paulo,10268,5
8970,"Lagin-Nasse, Julianna",23.17,45.87,92.13,97.35,116.0,141.63,168.63,196.17,208.0,7.93,8678,1807,1382,34,F,CAN,NS,Halifax,10296,5
8978,"Aznar, America",22.27,44.55,89.53,94.67,112.55,136.38,161.32,209.72,233.77,8.92,16340,5924,3509,39,F,CAN,AB,Edmonton,10304,5
8991,"Kurz, Stephanie",23.48,46.23,92.23,97.27,115.67,139.27,163.25,186.57,196.63,7.5,5619,692,555,30,F,CAN,BC,Vancouver,10318,5
8996,"Zannoni, Annalisa",22.82,45.58,92.05,97.13,115.87,141.13,167.18,193.03,209.85,8.02,9292,2076,1574,32,F,ITA,others,Bologna,10325,5
9003,"Holloway, Sandy E.",23.88,47.2,93.88,98.95,117.17,141.05,164.73,190.28,203.05,7.75,7248,1214,944,36,F,CAN,ON,Milton,10336,5
9080,"Tarbiat, Shalaleh",23.72,46.53,92.38,97.22,114.28,136.7,159.88,182.15,192.07,7.33,4561,437,357,32,F,CAN,ON,Richmond Hill,10426,5
9087,"Rose, Mikayla",22.25,44.72,90.83,95.87,114.43,139.28,165.5,191.03,202.57,7.73,7107,1166,140,40,F,AUS,others,Hawthorn East,10433,5
9101,"Laverdiere, Karine",26.3,53.52,109.67,115.72,138.28,165.78,190.8,215.07,225.02,8.58,13907,4521,2943,37,F,CAN,ON,Whitby,10449,5
9133,"Cadieux, Alana",24.67,49.37,100.55,106.52,129.0,158.55,188.22,219.1,232.83,8.88,16063,5768,3451,37,F,CAN,AB,Cold Lake,10488,5
9141,"Labrosse, Emilie",22.83,45.47,91.8,96.92,115.25,139.47,164.48,188.93,199.6,7.62,6364,896,709,37,F,CAN,QC,Saint-Andre-De-Kamouraska,10497,5
9143,"Hassett, Deirdre",22.4,45.07,90.83,95.83,113.62,136.9,160.58,184.33,194.35,7.42,5129,557,453,38,F,IRL,others,Galway,10499,5
9191,"Martinez, Katya",22.2,43.8,88.07,92.95,111.05,135.38,160.75,186.07,197.68,7.55,5857,755,88,43,F,ESA,others,San Salvador,10556,5
9232,"Dehnashi, Zarah",22.78,46.03,93.52,98.73,117.87,143.02,168.62,193.73,204.77,7.82,7738,1404,90,48,F,CAN,ON,Mississauga,10609,5
9235,"Afsar, Arma",23.45,47.15,94.5,99.67,118.12,142.43,168.12,193.22,204.8,7.82,7750,1409,173,41,F,CAN,ON,Toronto,10613,5
9262,"Claus, Sabrina",23.83,47.68,96.52,101.8,121.77,147.83,175.15,201.83,213.8,8.17,10472,2655,382,42,F,GER,others,Frankfurt Am Main,10647,5
9274,"Eriksson, Amanda-Sofi",22.58,45.62,91.83,96.87,115.07,139.05,163.13,186.92,196.63,7.5,5618,691,554,29,F,SWE,others,Vaxjo,10661,5
9304,"Drolet, Julie",22.33,44.58,90.48,95.42,113.4,137.38,162.25,186.57,198.23,7.57,5980,794,42,45,F,CAN,QC,Montreal,10691,5
9328,"Mctimoney, Nicole R.",24.65,49.37,100.55,106.52,129.0,158.53,188.22,219.1,232.83,8.88,16062,5767,3450,36,F,CAN,ON,Petawawa,10715,5
9339,"Mikhael, Nicole",22.15,44.72,91.08,96.12,114.28,138.15,162.37,185.85,196.2,7.48,5527,663,531,31,F,CAN,ON,Ottawa,10727,5
9382,"Allaway, Cara",23.3,46.8,93.83,98.97,117.67,142.9,169.95,199.27,211.73,8.08,9845,2349,1751,38,F,CAN,ON,Toronto,10775,5
9395,"Starr, Katie",28.68,57.52,116.1,122.7,145.92,175.95,205.5,232.72,243.38,9.28,18781,7326,3987,26,F,CAN,ON,Cambridge,10791,5
9426,"Johansen, Heidi E.",22.7,45.45,92.6,97.78,117.0,142.67,170.17,196.38,207.2,7.92,8427,1708,217,40,F,DEN,others,Aalborg,10828,5
9439,"Scheuring, Jennifer",23.22,46.5,94.08,99.38,118.47,145.0,172.87,200.7,213.18,8.13,10284,2566,361,43,F,CAN,ON,Oakville,10844,5
9443,"Mueller, Jessica E.",21.32,43.07,89.32,94.42,113.38,138.52,164.37,190.37,201.63,7.7,6858,1080,851,30,F,CAN,AB,Calgary,10848,5
9463,"Lee, Miyeong",22.68,45.72,94.08,99.42,119.3,146.0,178.7,204.78,216.92,8.28,11436,3150,2236,39,F,JPN,others,Kanagawa,10870,5
9489,"Yates, Sarah",20.97,42.17,86.7,91.57,108.93,131.33,154.07,176.05,186.18,7.12,3416,248,22,40,F,GBR,others,London,10898,5
9490,"MacDonald, Joelle E.",23.3,46.35,95.4,100.6,119.73,145.65,172.67,199.93,212.03,8.1,9947,2393,327,42,F,CAN,AB,Airdrie,10899,5
9519,"Gillis, Florence M",22.95,45.9,90.73,95.63,113.15,135.77,158.67,181.52,191.67,7.32,4479,424,49,43,F,CAN,NS,Sydney,10931,5
9539,"Walhovd, Kristine B.",21.57,43.77,89.53,94.52,112.85,137.87,163.35,188.18,199.85,7.63,6436,919,724,37,F,NOR,others,Oslo,10953,5
9627,"Corrigan, Louise",22.87,47.2,96.67,102.18,122.93,149.97,177.35,203.4,214.58,8.2,10702,2778,2023,31,F,IRL,others,Co. Kildare,11058,5
9640,"Fukaura, Shigeko",23.8,47.28,94.92,100.12,118.73,143.75,168.93,192.83,203.13,7.75,7282,1226,955,39,F,JPN,others,Kawasaki,11073,5
9660,"Kuhn, Stephanie",23.55,47.37,96.22,101.72,122.4,151.95,182.63,215.02,228.63,8.73,14923,5113,3191,36,F,GER,others,Apo,11095,5
