name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Johnson, Nadine A",31.72,63.35,128.03,135.03,162.12,201.83,245.08,287.13,305.63,11.67,27710,12133,1276,50,F,USA,MA,North Andover,32208
"Blount, George M",30.63,63.53,136.93,145.13,180.75,227.98,276.85,320.25,338.07,12.9,30008,16725,5657,38,M,USA,MA,Boston,32209
"King, Karla L",31.7,63.93,129.6,136.77,165.83,212.07,258.73,297.78,314.9,12.02,28472,12496,6029,31,F,USA,MA,Ayer,32210
"Derome, Nicole",30.6,60.08,120.33,126.97,152.2,186.25,246.3,302.3,323.27,12.33,29102,12834,2101,43,F,USA,MA,Jamaica Plain,32211
"Guerin, Donnalee",33.33,67.15,135.98,143.2,172.03,216.25,262.47,306.25,323.9,12.37,29145,12852,2112,48,F,USA,MA,Quincy,32212
"Ghiya, Akash V",30.22,59.03,117.32,123.82,153.18,191.4,235.58,280.28,294.4,11.23,26641,15064,5089,33,M,USA,MA,Boston,32213
"Jouar, Ahmed A.",29.57,58.63,117.25,123.55,147.43,179.32,213.0,245.15,259.4,9.9,21774,12764,2299,48,M,CAN,ON,North Bay,32214
"Wagner, Chuck G.",29.75,60.95,128.25,136.0,168.0,208.02,245.87,300.78,321.72,12.28,28985,16214,5497,28,M,USA,CA,San Diego,32215
"George, Kip E.",31.12,65.57,134.1,141.02,171.28,207.73,244.47,282.32,297.45,11.35,26978,15230,2643,46,M,USA,NH,Pelham,32216
"Holman, David",28.43,56.5,113.27,119.62,143.12,174.7,207.97,239.88,252.25,9.63,20472,12184,4283,31,M,USA,ME,North Yarmouth,32217
"Cumming, Lacey",31.0,62.23,127.73,135.05,163.12,203.15,243.88,282.97,297.77,11.37,27023,11773,5683,24,F,USA,MA,Sudbury,32218
"Unger, Leslie",28.63,58.03,115.73,121.8,148.83,184.17,220.65,250.05,263.67,10.07,22437,9356,4667,34,F,USA,MA,Cambridge,32219
"Visocchi, Sarah",34.07,70.33,161.22,170.13,205.13,249.77,299.02,341.03,358.58,13.68,30901,13782,6701,32,F,USA,MA,North Reading,32220
"Zuelke, Tim J",29.05,57.77,116.23,122.72,146.47,180.63,222.97,257.28,272.23,10.38,23790,13709,1363,55,M,USA,AL,Florence,32221
"Cronin, Amanda P",28.97,57.5,116.6,123.2,148.43,187.77,237.68,288.68,307.8,11.75,27888,12216,5895,34,F,USA,MA,Walpole,32222
"Haner, Charles H",31.62,64.58,133.18,140.27,168.75,213.68,261.65,316.42,338.95,12.93,30058,16742,479,68,M,USA,MA,Sharon,32223
"Loring, Mark D.",29.35,57.3,113.6,119.03,140.9,168.57,199.65,229.07,242.37,9.25,18558,11368,4101,39,M,USA,MA,Milton,32224
"Cook, Timothy W",28.03,56.57,118.0,124.85,150.67,182.55,216.47,249.45,264.63,10.1,22599,13155,4524,28,M,USA,NC,Jamestown,32225
"Johnson, Eric C",29.6,62.35,135.32,143.57,171.33,212.13,254.08,294.47,312.15,11.92,28267,15880,2256,54,M,USA,MA,North Reading,32226
"Carpenter, Elizabeth",28.7,56.03,112.58,118.8,142.05,172.63,208.37,240.03,253.07,9.67,20612,8371,4336,33,F,USA,FL,Lakeland,32227
"Zaro, David",31.3,66.65,151.63,161.05,201.48,259.92,315.53,366.95,388.78,14.83,31576,17420,2457,54,M,USA,IL,Chicago,32228
"O'Donnell, Katie",33.53,68.47,152.18,160.72,194.7,238.4,290.52,342.85,361.98,13.82,31006,13840,6725,38,F,USA,MA,Boston,32229
"Samples, Kristen",31.85,63.33,126.87,133.93,158.8,191.43,224.07,256.65,272.58,10.4,23835,10105,4942,31,F,USA,CT,Thompson,32230
"Roach, Candace T",32.3,63.98,132.28,139.87,170.77,210.25,254.63,303.63,325.58,12.43,29237,12897,6257,33,F,BER,others,Hamilton,32232
"Mercuri, Greg",27.5,55.45,115.65,122.33,152.4,198.15,241.62,286.78,303.45,11.58,27535,15496,5222,25,M,USA,MA,Natick,32233
"Bragdon, Leanne L",29.17,58.17,121.1,128.05,155.5,193.7,232.93,271.58,288.55,11.02,25936,11222,1884,43,F,USA,MA,Boston,32234
"Deveaux, Youlanda D.",29.17,57.27,113.93,119.85,142.3,172.82,204.33,234.03,246.97,9.43,19488,7731,1280,49,F,BAH,others,Nassau,32235
"Culwell, Samantha",29.52,58.63,118.9,125.85,153.07,189.07,228.97,268.32,284.35,10.85,25397,10953,5299,28,F,USA,MA,Somerville,32236
"Holden, Mary E",28.98,59.13,121.23,127.8,157.42,192.83,230.72,264.22,278.25,10.62,24565,10492,1803,44,F,USA,MA,Hopkinton,32237
"Salman, Jen",30.65,60.17,121.62,128.5,154.2,189.92,226.53,264.83,279.68,10.68,24757,10603,510,57,F,USA,MA,South Boston,32238
"Riley, Stephanie",31.37,62.2,123.57,130.1,162.93,199.53,241.08,277.63,293.35,11.2,26503,11515,5559,28,F,USA,MA,Saugus,32239
"Sortman, Suzanne",28.35,56.8,114.52,120.88,144.63,177.92,210.32,242.15,256.9,9.8,21304,8760,840,53,F,USA,CO,Aurora,32240
"Downing, Nadine L",32.38,71.15,147.68,155.97,188.58,233.7,288.35,332.07,349.35,13.33,30591,13605,2231,44,F,USA,MA,Peabody,32241
"Deiana, Jay A",29.7,56.75,114.45,121.08,146.1,196.82,250.88,303.05,323.7,12.35,29125,16282,5523,23,M,USA,MA,Hopkinton,32242
"Kearney, Jennifer M.",34.08,67.77,135.73,142.97,173.12,211.32,247.78,284.38,298.58,11.4,27113,11823,5703,24,F,USA,MA,Saugus,32243
"Monti, Mark A.",33.18,69.97,151.95,160.48,193.78,241.87,291.33,338.08,357.83,13.65,30875,17109,2418,53,M,USA,MA,Cambridge,32244
"Borowski, Matthew F",30.12,63.47,129.88,136.98,164.22,199.33,235.53,272.22,289.4,11.05,26047,14769,5005,29,M,USA,MA,Somerville,32245
"Haddigan, Kristin E",28.43,56.78,113.42,119.47,141.6,171.13,201.57,230.82,243.8,9.3,18862,7382,1334,42,F,USA,MA,Marshfield,32246
"Tucci, Anne C",30.62,59.78,118.4,125.0,149.5,185.02,219.72,254.67,268.4,10.25,23215,9766,4818,26,F,USA,MA,Boston,32247
"Frechette, Rebecca",28.5,58.07,121.37,128.38,155.15,191.2,229.05,265.53,279.27,10.67,24700,10567,5135,29,F,USA,MA,Mansfield,32248
