name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Yamamoto, Hiroyuki",8.02,17.37,37.65,39.72,47.67,59.18,71.4,80.43,85.25,3.27,8,8,8,47,M,JPN,others,Fukuoka,W1
"Jeptoo, Rita",16.22,32.58,65.83,69.47,82.43,99.33,116.37,132.1,138.95,5.3,21,1,1,33,F,KEN,others,Eldoret,F1
"Van Dyk, Ernst F.",7.75,16.62,36.1,38.03,45.8,56.45,67.42,76.1,80.6,3.08,1,1,1,41,M,RSA,others,Paarl,W2
"Dibaba, Mare",16.2,32.57,65.83,69.47,82.43,99.33,116.37,132.95,140.58,5.37,27,3,3,24,F,ETH,others,Shoa,F2
"Hokinoue, Kota",8.02,17.12,36.58,38.6,46.37,57.03,67.83,76.72,81.23,3.1,2,2,2,40,M,JPN,others,Nogata Fukuoka,W3
"Sumgong, Jemima Jelagat",16.22,32.58,65.83,69.47,82.45,99.33,116.37,132.95,140.68,5.37,28,4,4,29,F,KEN,others,Nandi,F3
"Hug, Marcel E.",8.38,17.65,37.65,39.72,47.67,58.6,70.23,79.83,84.65,3.23,4,4,4,28,M,SUI,others,Neuenkirch,W4
"Geneti, Markos",15.17,30.48,61.62,64.85,76.95,92.52,107.47,122.8,129.83,4.97,5,5,5,29,M,ETH,others,Addis Ababa,5
"Soejima, Masazumi",8.0,17.12,36.6,38.6,46.37,57.03,67.83,76.7,81.23,3.1,3,3,3,43,M,JPN,others,Isahaya,W6
"Hall, Ryan",15.15,30.48,61.78,65.23,77.68,94.78,112.27,129.83,137.83,5.27,20,20,20,31,M,USA,CA,Redding,6
"Cherop, Sharon",16.22,32.58,65.85,69.47,82.45,99.35,116.92,134.65,143.0,5.47,40,8,8,30,F,KEN,others,Marakwet,F6
"Chebet, Wilson",15.18,30.52,61.63,64.87,76.97,92.52,107.47,121.95,128.8,4.92,2,2,2,28,M,KEN,others,Marakwet,7
"Lemeunier, Denis Sr.",8.4,18.13,39.03,41.18,49.17,60.85,72.6,82.17,86.95,3.32,11,11,11,49,M,FRA,others,Taule,W7
"Kilel, Caroline",16.22,32.58,67.15,71.1,85.55,104.62,124.22,143.5,152.07,5.8,121,17,17,33,F,KEN,others,Bomet,F7
"Cassidy, Josh R.",8.02,17.12,38.02,40.2,48.88,60.82,72.83,82.38,87.4,3.35,13,13,13,29,M,CAN,ON,Port Elgin,W8
"Linden, Desiree",16.92,33.93,67.92,71.68,85.03,102.4,119.68,136.47,143.9,5.5,46,10,10,30,F,USA,MI,Rochester Hills,F8
"Madera, Jordi",8.02,17.13,36.98,39.12,47.45,58.73,70.6,79.92,84.7,3.23,5,5,5,34,M,ESP,others,Les Franquesas,W9
"Deba, Buzunesh",16.2,32.57,65.83,69.47,82.43,99.35,116.38,132.65,139.98,5.35,25,2,2,26,F,ETH,others,Arsi,F10
"Hamerlak, Tomasz",8.67,18.17,39.05,41.2,49.15,59.92,70.83,80.18,84.88,3.25,7,7,7,38,M,POL,others,Bystra,W10
"Petrova Arkhipova, Tatiana",17.32,34.8,70.1,73.95,87.83,106.03,124.53,142.68,150.48,5.75,102,13,13,31,F,RUS,others,Cheboksary,F11
"Chepkwony, Frankline",15.18,30.5,61.63,64.9,76.95,92.52,107.47,122.22,128.83,4.92,3,3,3,29,M,KEN,others,Koibatek,11
"Duliba, Aleksandra",16.47,33.23,66.57,70.25,83.4,100.58,117.65,134.2,141.48,5.4,34,6,6,26,F,BLR,others,Minsk,F12
"Kogo, Micah",15.17,30.5,61.62,64.88,76.97,92.52,109.12,128.18,137.2,5.23,17,17,17,27,M,KEN,others,Eldoret,12
"Botello Jimenez, Rafael",8.68,18.17,39.05,41.2,49.15,60.87,72.7,82.17,86.95,3.32,12,12,12,35,M,ESP,others,Manlleu,W12
"Filteau, Michel",8.67,18.3,39.63,41.8,50.33,62.33,74.95,84.48,89.4,3.42,14,14,14,47,M,CAN,QC,St-Jean Baptiste,W13
"Esayias, Yeshi",16.22,33.02,67.62,71.45,85.03,102.92,121.6,139.7,147.67,5.63,71,12,12,28,F,ETH,others,Arsi,F14
"Annani, Adil",15.18,30.53,61.63,64.88,76.97,92.6,109.15,125.23,132.72,5.07,10,10,10,33,M,MAR,others,Marrakesh,14
"Kim, Gyu Dae",8.98,18.78,39.65,41.82,50.33,62.72,75.02,84.75,89.52,3.42,15,15,15,30,M,USA,IL,Champaign,W14
"Ongori, Philes",16.35,33.02,66.58,70.27,83.43,100.8,118.4,135.67,143.37,5.48,42,9,9,27,F,KEN,others,Kisii,F15
"Lonyangata, Paul",15.18,30.52,61.63,64.9,76.97,92.52,108.17,124.98,132.57,5.07,9,9,9,31,M,KEN,others,Eldoret,15
"George, Joshua",8.93,18.75,39.08,41.18,49.15,59.92,70.83,80.18,84.82,3.25,6,6,6,30,M,USA,IL,Champaign,W15
"Oljira, Belaynesh",16.2,32.57,65.83,69.47,82.43,99.53,117.58,135.8,144.35,5.52,48,11,11,23,F,ETH,others,Wellega,F16
"Kimurer, Joel",15.18,30.52,61.63,64.87,76.97,92.52,108.02,123.83,131.05,5.0,6,6,6,26,M,KEN,others,Iten,16
"Puigbo Verdaguer, Roger Sr.",8.68,18.3,40.73,43.17,52.9,67.12,81.77,92.87,98.42,3.77,26,24,24,36,M,ESP,others,Sant Julia De Vilatorta,W16
"Flanagan, Shalane",16.2,32.57,65.82,69.45,82.43,99.33,116.63,134.0,142.03,5.43,37,7,7,32,F,USA,OR,Portland,F17
"April, Lusapho",15.18,30.52,61.63,64.88,76.95,92.52,108.32,126.32,134.98,5.15,15,15,15,31,M,RSA,others,Uitenhage,17
"Gordian, Aaron",8.93,19.37,42.47,44.82,54.2,66.62,79.6,90.07,95.28,3.65,18,17,17,49,M,USA,AZ,Phoenix,W17
"Abdirahman, Abdi",15.17,30.52,61.83,65.28,77.58,93.82,110.9,128.17,136.1,5.2,16,16,16,35,M,USA,AZ,Tucson,18
"Ray, Bradley F.",9.4,20.68,45.88,48.35,58.28,72.95,87.73,98.48,104.15,3.98,36,30,30,45,M,USA,CO,Loveland,W18
"Keflezighi, Meb",15.15,30.48,61.08,64.35,76.0,91.17,106.62,121.82,128.62,4.92,1,1,1,38,M,USA,CA,San Diego,19
"Senbeta, James",8.38,17.67,38.33,40.45,48.55,59.77,71.18,80.62,85.38,3.27,9,9,9,27,M,USA,IL,Champaign,W19
"Gotcher, Brett",15.25,30.75,62.28,65.75,78.07,94.5,111.55,129.13,137.27,5.25,18,18,18,29,M,USA,CA,La Selva Beach,20
"Marchant, Lanni",16.92,33.93,68.77,72.6,86.3,104.53,123.47,142.37,150.57,5.75,105,14,14,30,F,CAN,ON,London,F20
"Bleakney, Adam",8.92,18.77,40.83,43.0,52.07,64.87,77.78,87.7,92.87,3.55,16,16,16,38,M,USA,IL,Champaign,W20
"Burla, Serena",16.93,34.07,69.3,73.18,87.13,105.87,124.97,143.97,152.45,5.82,128,18,18,31,F,USA,VA,Stafford,F21
"Hartmann, Jason",15.18,30.52,62.22,65.88,79.62,98.68,118.05,137.22,145.68,5.57,53,42,38,33,M,USA,CO,Boulder,21
"Higuchi, Noriko",17.5,35.2,70.8,74.73,88.73,107.23,126.48,145.47,153.65,5.87,145,21,21,28,F,JPN,others,Kyoto,F22
"Arciniaga, Nicholas",15.18,30.52,61.77,65.07,77.12,93.05,109.13,124.85,131.78,5.03,7,7,7,30,M,USA,AZ,Flagstaff,22
"Park, Peter",9.25,20.17,44.32,46.7,56.28,69.53,83.1,93.65,99.0,3.78,28,25,25,36,M,USA,IL,Champaign,W22
"Nelson, Adriana",16.98,34.35,70.18,74.13,88.18,106.7,125.28,143.07,151.25,5.78,110,15,15,34,F,USA,CO,Fort Collins,F23
"Shafar, Vitaliy",15.4,30.82,61.62,64.93,76.85,92.5,108.0,122.97,129.62,4.95,4,4,4,32,M,UKR,others,Lutsk,23
"Kozarek, Robert",9.12,19.37,43.02,45.27,54.32,68.53,83.25,93.03,98.13,3.75,25,23,23,25,M,USA,IL,Champaign,W23
"Aparecida da Silva, Adriana",17.5,35.22,70.82,74.73,88.65,106.88,125.43,143.4,151.3,5.78,111,16,16,32,F,BRA,others,Sao Paulo,F24
"Siemann, Brian",9.4,20.22,43.78,46.23,55.67,68.17,80.95,91.63,96.53,3.68,20,19,19,24,M,USA,IL,Savoy,W24
"Eggleston, Jeffrey",15.2,30.53,61.75,65.08,77.07,92.82,108.8,124.8,131.95,5.03,8,8,8,29,M,USA,CO,Boulder,24
"Melkamu, Meselech",16.22,32.57,65.83,69.47,82.45,99.35,116.37,133.2,141.47,5.4,33,5,5,29,F,ETH,others,Addis Ababa,F25
"Wahoram, Prawat",8.68,18.17,39.05,41.2,49.15,60.17,72.18,81.83,95.5,3.65,19,18,18,33,M,THA,others,Bangkok,W25
"Sakai, Koichi",15.42,30.83,62.3,65.7,78.02,94.33,111.12,127.67,134.93,5.15,14,14,14,28,M,JPN,others,Chiba,26
"Tana, Rawat",8.98,18.77,39.37,41.52,49.75,61.17,72.62,82.18,86.9,3.32,10,10,10,36,M,THA,others,Bangkok,W26
"Pulido, Jose Sr.",10.08,21.47,46.33,48.77,58.3,72.97,87.73,98.48,104.08,3.98,34,28,28,33,M,USA,GA,Clarkesville,W27
"Portis, Laura A.",18.18,36.47,73.28,77.32,91.98,111.85,131.77,150.63,158.8,6.07,291,27,25,27,F,USA,MI,Kalamazoo,F28
"Qi, Ji Dong",9.33,20.22,43.8,46.23,55.68,68.17,80.95,91.65,96.6,3.7,23,22,22,19,M,CHN,others,Liao Ning,W28
"Boit, Josphat",15.17,30.48,61.08,64.35,76.1,91.97,108.13,124.72,132.87,5.08,11,11,11,30,M,USA,CA,Mammoth Lakes,28
"Erb, Esther",18.18,36.47,73.28,77.32,91.18,109.17,127.55,145.32,153.25,5.85,140,20,20,28,F,USA,NJ,Lambertville,F29
"Leon, Craig",15.2,30.53,61.87,65.35,77.58,93.83,110.3,126.77,134.47,5.13,12,12,12,29,M,USA,OR,Eugene,29
"Li, Lai Zu",9.97,21.13,46.15,48.65,57.87,70.95,84.08,95.12,100.62,3.85,30,26,26,26,M,CHN,others,Liao ning,W29
"Cao, De Cheng",9.25,19.73,42.32,44.72,54.18,67.45,80.83,91.65,96.53,3.68,21,20,20,21,M,CHN,others,Liao Ning,W30
"Thomas, Wendy",17.48,35.2,70.8,74.67,88.57,106.88,125.68,144.35,152.82,5.83,132,19,19,35,F,USA,CO,Windsor,F30
"Morgan, Mike G.",15.58,31.37,63.07,66.55,78.98,95.25,111.45,127.5,134.67,5.15,13,13,13,34,M,USA,MI,Rochester Hills,31
"Jesseman, Erica",18.2,36.47,73.3,77.32,92.05,112.32,133.45,153.83,162.53,6.2,443,29,26,25,F,USA,ME,Scarborough,F31
"Sanz, Santiago",10.17,21.6,47.28,49.93,60.13,74.35,88.6,100.28,106.2,4.07,38,31,1,33,M,ESP,others,Albatera,W32
"Curley, Craig",15.7,32.15,66.47,70.28,84.08,102.43,121.12,139.62,149.43,5.7,88,76,70,25,M,USA,AZ,Tucson,32
"Dionne, Hilary K.",18.2,36.48,73.3,77.32,91.5,109.83,128.48,146.7,155.13,5.92,184,23,23,28,F,USA,MA,Charlestown,F32
"McCallister, Kacey Z.",9.72,25.15,49.77,52.23,61.87,74.83,88.17,98.58,104.13,3.98,35,29,29,27,M,USA,OR,Monmouth,W33
"Jensen, Bryant",16.1,32.42,65.23,68.8,81.68,98.8,116.75,134.43,142.68,5.45,39,32,30,30,M,USA,UT,Ogden,33
"Cummings, Sarah",18.2,36.48,73.3,77.32,91.52,109.83,128.48,146.8,154.95,5.92,176,22,22,25,F,USA,NY,New York,F33
"Vick, Wes B.",9.77,21.27,46.72,49.27,59.32,73.72,88.17,98.65,104.02,3.98,33,27,27,33,M,CAN,ON,Toronto,W34
"Macpherson, Scott",15.58,31.22,62.28,65.62,77.58,93.87,111.5,129.55,137.77,5.27,19,19,19,27,M,USA,MO,Columbia,34
"Green, Amber",18.57,37.37,76.0,80.22,95.37,115.17,135.28,154.85,163.45,6.25,491,32,28,33,F,USA,UT,Saint George,F34
"Hulin, Ben R.",11.73,25.28,57.05,59.95,73.0,93.67,114.77,127.6,134.73,5.15,47,38,36,32,M,USA,UT,Park City,W35
"Njeri, Daniel N.",15.2,31.15,65.67,69.55,83.62,102.45,122.53,150.73,159.35,6.08,313,286,248,34,M,KEN,others,Eldoret,35
"Dewald, Matt",16.23,32.98,67.55,71.37,84.78,102.48,120.53,137.38,144.58,5.52,49,38,35,31,M,USA,CO,Denver,36
"Dodson, Travis",10.15,21.07,44.77,47.13,56.47,68.65,81.37,91.68,96.57,3.68,22,21,21,28,M,USA,IL,Champaign,W36
"Philbrook, Lauren",18.72,37.53,75.17,79.23,93.98,114.07,135.0,155.83,164.93,6.3,590,34,30,26,F,USA,MA,Hopkinton,F36
"Fowler, Jason M.",10.52,22.63,48.73,51.38,61.68,76.95,91.98,103.43,109.2,4.17,41,34,32,40,M,USA,MA,Boston,W37
"Smith, Caitlin",18.48,37.38,75.28,79.5,94.62,114.9,136.2,158.12,168.38,6.43,812,45,39,33,F,USA,CA,Oakland,F38
"Pelletier, Matt",18.17,36.98,75.77,80.08,96.38,118.87,150.77,187.57,199.72,7.63,6391,5490,2944,34,M,USA,RI,West Greenwich,39
"Walkonen, Andrea R.",18.2,36.47,73.32,77.32,91.72,110.68,129.97,148.95,157.1,6.0,229,25,24,27,F,USA,NH,Lebanon,F39
"Wetsch, Bria A.",18.37,36.88,74.78,78.92,93.75,113.57,133.62,153.48,162.55,6.2,444,30,27,25,F,USA,CA,Mammoth Lakes,F40
"Ishiguro, Daisuke",15.68,32.13,63.93,67.37,79.92,96.8,114.62,138.67,150.72,5.75,106,92,86,21,M,JPN,others,Tokyo,40
"Martin, Raymond",10.67,22.65,48.82,51.57,61.75,75.83,90.78,102.5,108.48,4.15,39,32,2,20,M,USA,IL,Champaign,W41
"Drobeck, Trisha",18.5,37.38,75.62,79.78,95.07,115.47,136.6,157.15,166.47,6.35,677,38,34,33,F,USA,MT,Missoula,F41
"Davis, Matt",11.55,24.2,52.12,54.88,65.87,82.0,99.13,110.97,117.4,4.48,43,35,33,47,M,USA,KY,Bowling Green,W42
"Mareb, Emily A.",18.5,37.38,77.05,81.55,97.45,119.02,141.15,162.93,172.4,6.58,1180,62,54,29,F,USA,NY,New York,F42
"Ornelas, Zachary A.",16.22,32.53,66.22,70.05,83.83,102.23,123.3,144.42,154.28,5.9,158,137,126,22,M,USA,MI,Ann Arbor,42
"Doak, Patrick A.",9.93,21.55,47.82,50.43,60.82,75.83,91.53,103.03,109.0,4.17,40,33,31,46,M,USA,MA,Carlisle,W43
"Stamps Mallon, Julia C.",18.5,37.8,79.53,84.18,100.83,122.72,145.53,167.85,177.88,6.8,1930,105,88,35,F,USA,CA,Santa Rosa,F43
"Burdick, Jared",16.72,33.35,67.15,70.83,84.22,102.95,123.65,144.12,153.43,5.87,142,122,113,27,M,USA,NY,Manlius,43
"Kent, Geoffrey",11.27,24.2,52.75,55.53,67.1,83.87,101.53,113.87,120.58,4.6,44,36,34,34,M,USA,IL,Chicago,W44
"Hirose, Mitsuko",18.5,37.38,75.9,80.05,97.45,118.02,138.95,158.92,167.5,6.4,741,40,36,39,F,JPN,others,Tokyo,F44
"Conway, Jodie L.",18.57,37.35,76.4,80.75,96.73,117.58,138.72,159.77,168.28,6.43,808,44,38,37,F,USA,MA,Framingham,F45
"Jami, Segundo O. Sr.",15.23,30.82,62.78,66.28,78.88,95.97,114.42,132.67,140.87,5.38,30,26,24,27,M,USA,CO,Boulder,45
"Holcomb, Chris",13.93,30.33,67.98,71.23,86.33,111.12,142.42,172.25,183.62,7.02,52,41,3,43,M,USA,FL,Lake Worth,W46
"Dworak, Brandon T.",16.25,32.85,67.15,70.85,84.9,103.17,122.08,140.55,148.53,5.67,76,64,59,26,M,USA,TN,Memphis,46
"Scott, Glen E.",12.1,25.62,56.67,59.78,72.67,90.63,109.65,123.58,131.38,5.02,45,37,35,53,M,CAN,AB,Calgary,W48
"Steinbacher, Dani",19.18,38.33,78.47,82.83,98.72,119.65,140.78,161.62,170.62,6.52,1004,53,47,28,F,USA,MI,Ann Arbor,F48
"Fujimatsu, Toshiyuki",15.58,31.87,65.82,69.5,83.45,101.88,123.35,144.87,154.03,5.88,150,129,119,26,M,JPN,others,Tokyo,48
"Malik, Ronald W.",13.32,29.6,67.87,71.37,87.28,111.58,137.2,153.87,163.2,6.23,49,39,37,59,M,USA,IL,Tremont,W49
"Hensley, Matt",16.23,32.7,65.73,69.33,82.35,99.2,115.92,132.4,139.85,5.35,24,23,22,26,M,USA,CO,Boulder,49
"Martin, Andre T. Jr.",15.32,32.62,74.25,78.43,94.63,117.78,142.38,159.25,169.2,6.47,51,40,38,18,M,USA,NH,Manchester,W50
"Sanca, Ruben",16.23,32.53,64.95,68.42,81.02,97.65,114.48,131.4,139.08,5.32,22,21,21,27,M,USA,MA,Lowell,50
"Ahearn, Christopher",16.2,34.5,78.82,83.05,101.08,130.02,161.52,180.4,191.33,7.3,53,42,39,52,M,USA,MA,Framingham,W51
"Troop, Lee",15.68,32.12,65.15,68.73,82.23,109.23,143.88,183.08,197.08,7.53,5710,5000,982,41,M,USA,CO,Boulder,75
"Shabunin, Viacheslav V.",16.38,32.77,66.08,69.77,82.72,99.6,116.47,133.38,140.72,5.37,29,25,2,44,M,RUS,others,Moscow,76
"Steidl, Ulrich",16.25,32.63,65.52,69.18,82.2,99.15,116.1,132.47,139.8,5.33,23,22,1,42,M,USA,WA,Seattle,77
"Lokken, Tracy",16.23,32.63,66.53,70.32,83.9,101.33,119.2,136.83,144.65,5.53,51,40,1,48,M,USA,MI,Marquette,79
"Forsyth, Ian",16.75,33.78,69.0,73.08,88.07,109.23,132.62,167.3,177.48,6.78,1853,1753,255,42,M,USA,MI,Ann Arbor,81
"Ryf, Jason",16.4,33.0,67.3,71.08,84.8,103.27,122.58,146.07,155.67,5.95,201,178,14,43,M,USA,WI,Oshkosh,82
"Achmuller, Hermann",16.45,33.15,67.32,71.15,84.88,103.05,121.63,140.48,148.98,5.68,81,69,5,43,M,ITA,others,Brixen,83
"Hartshorn, Chris M.",16.4,33.43,68.55,72.47,86.8,106.13,126.17,146.0,155.23,5.93,187,164,9,42,M,USA,MA,Concord,84
"Tenorio, Franklin B. Sr.",15.77,32.37,66.45,70.2,83.92,102.08,120.43,138.65,147.0,5.62,64,53,4,44,M,USA,CO,Boulder,85
"Wardian, Michael R.",16.22,32.53,65.5,69.18,82.18,99.43,117.13,135.07,143.53,5.48,44,35,3,40,M,USA,VA,Arlington,86
"Kuhlmann, Patrick M.",16.88,34.08,68.98,72.87,86.67,104.87,123.73,143.08,151.52,5.78,113,97,6,43,M,USA,DC,Washington,87
"Duca, Francesco",16.35,32.98,67.1,70.78,84.05,101.82,121.95,143.22,153.07,5.85,139,120,7,40,M,ITA,others,Cordignano (tv),88
"McFadden, Tatyana",10.12,20.65,43.12,45.43,54.18,66.48,79.15,89.87,95.1,3.63,17,1,1,25,F,USA,IL,Champaign,W101
"Simon, Lidia",18.2,36.48,73.5,77.57,92.3,111.57,130.75,148.9,156.78,5.98,222,24,1,40,F,USA,CO,Boulder,F102
"End, Nicholas B.",16.6,33.28,67.07,70.73,83.9,100.9,117.88,134.72,142.37,5.43,38,31,29,29,M,USA,PA,Pittsburgh,102
"McGrory, Amanda M.",10.12,20.65,45.25,48.03,58.75,75.28,91.7,104.28,110.87,4.23,42,8,8,27,F,USA,IL,Savoy,W103
"Boulet, Magdalena",18.48,37.38,75.17,79.23,93.73,113.55,133.62,153.22,161.6,6.17,401,28,3,40,F,USA,CA,Oakland,F103
"Schulze, Marc",16.05,32.42,65.93,69.65,83.38,102.33,122.33,141.72,149.68,5.72,91,79,73,29,M,GER,others,Dresden,103
"Reilly, Shirley S.",10.12,21.07,46.13,48.68,58.43,72.98,87.8,98.73,104.57,4.0,37,7,7,28,F,USA,AZ,Tucson,W104
"Olaru, Nuta",18.45,37.05,74.73,78.92,93.42,112.3,131.08,149.17,157.48,6.02,243,26,2,43,F,USA,CO,Longmont,F104
"Varner, Alexander",16.95,33.95,68.3,72.05,85.78,104.95,124.27,143.4,152.08,5.82,122,105,98,28,M,USA,CA,San Rafael,104
"Tsuchida, Wakako",9.25,19.75,43.15,45.42,54.88,68.18,81.58,92.07,97.4,3.72,24,2,2,39,F,JPN,others,Tama City Tokyo,W105
"Piers, Sheri",18.43,37.05,74.77,78.95,93.98,114.02,134.38,154.0,162.67,6.22,455,31,4,42,F,USA,ME,Falmouth,F105
"Joslyn, C Fred",16.65,33.3,67.08,70.78,83.92,101.68,120.78,140.78,149.2,5.7,84,72,66,30,M,USA,NY,East Syracuse,105
"Woods, Shelly",10.1,20.65,43.93,46.35,55.73,69.42,84.12,95.8,101.7,3.88,31,5,5,27,F,GBR,others,Lytham - St Annes,W106
"Barry, Kristin P.",19.38,38.88,78.78,83.15,98.82,119.65,141.3,162.03,171.38,6.55,1079,56,6,40,F,USA,ME,Scarborough,F106
"Freeman, Crosby",16.77,33.93,67.87,71.57,84.68,101.83,119.77,138.6,147.63,5.63,70,59,54,30,M,USA,CA,San Francisco,106
"Schar, Manuela",9.72,20.55,43.67,46.07,55.4,69.1,83.37,94.22,99.65,3.82,29,4,4,29,F,SUI,others,Kriens,W107
"Folk, Matthew",17.07,34.15,68.47,72.25,85.9,104.02,122.73,141.78,150.55,5.75,104,91,85,38,M,USA,OH,Perrysburg,107
"Scaroni, Susannah",10.12,20.65,43.95,46.33,55.75,68.93,82.17,93.08,98.55,3.77,27,3,3,22,F,USA,IL,Urbana,W108
"Gomez, Robert",19.25,38.33,76.73,80.95,95.9,115.72,134.83,152.77,160.6,6.13,361,334,292,30,M,USA,ME,Portland,108
"Roy, Diane",9.65,20.65,44.87,47.32,57.47,71.78,86.57,97.73,103.67,3.97,32,6,6,43,F,CAN,QC,Sherbrooke,W109
"Flaherty, Matt",16.52,32.78,65.92,69.5,82.43,99.52,116.82,133.7,141.33,5.4,32,28,26,28,M,USA,IN,Bloomington,109
"Wiltse, Paula",19.53,39.7,81.42,85.9,101.9,122.73,144.0,164.38,173.43,6.62,1283,70,3,46,F,CAN,ON,Brockville,F110
"Moore, Jill",12.12,25.28,56.1,59.1,71.67,91.37,112.4,126.67,133.97,5.12,46,9,9,21,F,USA,IL,Champaign,W111
"Glasson, Rachel",19.52,39.03,78.58,82.93,98.45,118.63,139.07,159.07,167.95,6.42,783,42,5,44,F,AUS,others,Lake Albert,F111
"Rausin, Arielle",12.9,26.98,59.62,62.65,76.1,95.62,116.23,129.67,137.05,5.23,48,10,10,20,F,USA,IL,Urbana,W112
"Bentley, Lisa",18.5,37.82,77.3,81.62,96.92,117.17,138.27,159.02,167.78,6.4,759,41,1,45,F,USA,FL,Clermont,F112
"Havel, Kevin",16.68,33.68,67.33,70.88,83.9,100.92,117.42,133.38,140.92,5.38,31,27,25,24,M,USA,IL,Arlington Heights,112
"Kapinowski, Jacqui",15.28,32.45,71.68,75.48,91.25,116.17,141.18,157.18,166.68,6.37,50,11,11,51,F,USA,FL,Tequesta,W113
"Robson, Denise",19.55,39.7,81.42,85.9,101.9,122.73,143.72,164.1,173.27,6.62,1264,69,2,45,F,CAN,NS,Dartmouth,F114
"Finnel, Brian",16.32,32.92,67.07,70.77,84.17,101.88,119.87,138.08,146.45,5.6,57,46,42,26,M,USA,WI,Madison,114
"Andrews, Tyler C.",16.17,32.62,65.22,68.77,81.57,98.72,116.28,133.72,141.55,5.4,35,29,27,23,M,USA,MA,Concord,115
"Starosciak, Kaye A.",20.0,40.42,81.25,85.73,101.65,122.35,143.22,163.75,172.62,6.6,1198,65,7,40,F,USA,GA,Canton,F116
"Taylor, Alex J.",16.92,33.93,68.02,71.73,84.95,102.1,119.4,136.13,143.35,5.48,41,33,31,34,M,USA,MA,Jamaica Plain,116
"Shoemaker, Perry R.",20.22,41.17,85.25,90.1,107.72,131.05,154.93,178.07,188.57,7.2,3847,306,31,42,F,USA,VA,Vienna,F117
"Molz, Jonathan",16.93,34.18,71.35,75.35,90.58,111.88,135.6,159.9,171.28,6.53,1072,1017,803,27,M,USA,VA,Richmond,117
"Kennedy, Christine B.",19.65,40.17,81.8,86.37,102.68,124.22,146.17,167.63,177.73,6.78,1904,103,2,59,F,USA,CA,Los Gatos,F118
"Smogoleski, Charles A.",17.02,34.67,72.0,76.18,92.23,114.83,139.52,166.08,176.82,6.75,1742,1646,1240,28,M,USA,GA,Rome,119
"Duncan, Sean D.",17.05,34.05,68.05,71.77,85.28,102.78,120.92,139.0,147.03,5.62,65,54,49,24,M,USA,MA,Arlington,120
"Benadum, Blue",16.88,33.83,67.75,71.43,84.57,101.7,119.03,136.15,143.72,5.48,45,36,33,34,M,USA,CA,Los Angeles,121
"McCalmon, Ryan D.",17.12,34.15,68.55,72.4,87.08,106.82,127.27,147.6,156.42,5.97,217,194,173,38,M,USA,MA,Belmont,123
"Nurse, Ian",17.12,34.17,68.4,72.2,85.5,102.8,120.45,137.95,145.62,5.57,52,41,37,36,M,USA,MA,Boston,124
"Maisey, Douglas",20.83,41.63,84.02,88.72,106.18,145.32,164.98,187.03,195.27,7.45,5343,4727,2723,26,M,USA,PA,Philadelphia,125
"Peck, Graham",17.0,34.12,68.42,72.15,85.5,103.13,121.05,138.88,146.6,5.6,59,48,44,24,M,USA,MD,Baltimore,126
"Johnson, Kevin C.",17.62,35.52,70.83,74.58,88.0,104.88,121.72,138.47,146.23,5.58,55,44,40,25,M,USA,NH,Lebanon,127
"Kruger, Matthew",17.08,34.15,69.03,72.88,86.67,105.0,124.02,143.48,152.13,5.82,123,106,99,25,M,USA,MO,St. Louis,128
"Ries, Tommy A. Jr.",17.5,36.32,76.75,81.22,97.65,119.58,141.77,163.2,172.58,6.58,1194,1130,888,26,M,USA,IA,Iowa City,129
"Gilmore, Peter",17.1,34.15,68.47,72.23,86.43,107.2,129.83,153.5,163.78,6.25,512,480,405,24,M,USA,CA,Berkeley,130
"Holt, Jason",16.17,32.58,66.18,69.85,83.4,101.83,121.32,140.85,149.7,5.72,92,80,74,27,M,USA,UT,Kaysville,131
"Bartlett, Peter J Jr.",16.15,32.58,65.9,69.65,83.28,101.3,120.05,138.83,146.98,5.62,63,52,48,27,M,USA,NY,New York,132
"Ashe, Eric",16.15,32.6,65.08,68.6,81.4,98.63,116.32,133.85,141.68,5.42,36,30,28,25,M,USA,MA,Boston,133
"Fermoyle, Kelly",16.92,33.92,68.1,71.78,84.93,102.28,120.2,138.13,146.28,5.58,56,45,41,28,M,USA,MN,Minneapolis,134
"Bedoya, David",16.92,33.93,68.08,71.77,85.47,104.38,124.03,143.15,151.32,5.78,112,96,90,37,M,USA,MA,Somerville,135
"Dirscherl, Christian",16.4,33.27,68.05,71.82,85.73,104.25,122.68,140.8,148.83,5.68,79,67,62,34,M,USA,CO,Denver,136
"Schallner, Nils",16.92,33.92,69.92,73.73,88.27,107.43,126.65,144.85,152.88,5.83,135,116,109,33,M,USA,MA,Cambridge,137
"Wallor, Eric J",17.18,34.32,68.6,72.4,85.75,103.32,121.47,139.18,146.85,5.62,62,51,47,31,M,USA,IL,Palatine,138
"Schneider, Ben",16.92,33.95,68.12,71.82,85.12,102.42,119.73,136.65,143.93,5.5,47,37,34,30,M,USA,MN,Minneapolis,139
"Dewitt, Jonathan L.",16.88,33.77,67.42,71.1,84.32,101.77,119.73,138.15,146.77,5.6,61,50,46,24,M,USA,OH,Toledo,140
"Guillen, Ramiro C.",16.93,33.82,67.55,71.3,84.85,102.58,121.4,140.47,148.5,5.67,75,63,58,31,M,USA,CA,Goleta,141
